"name","tier","owner_review","parser_path","writer_path"
"24H_IE_AGENT_FACTORY_RUN_001_SEAL.json","qa_evidence","False","CLOSED","BLOCKED"
"24H_IE_AGENT_FACTORY_RUN_001_SEAL.md","qa_evidence","False","CLOSED","BLOCKED"
"24H_IE_AGENT_FACTORY_RUN_002_SEAL.json","qa_evidence","False","CLOSED","BLOCKED"
"24H_IE_AGENT_FACTORY_RUN_002_SEAL.md","qa_evidence","False","CLOSED","BLOCKED"
"ARABIC_WORDING_SAFETY_STATUS.json","legal_safety","False","CLOSED","BLOCKED"
"ARABIC_WORDING_SAFETY_STATUS.md","legal_safety","False","CLOSED","BLOCKED"
"EVIDENCE_PACK_QA_STATUS.json","qa_evidence","False","CLOSED","BLOCKED"
"EVIDENCE_PACK_QA_STATUS.md","qa_evidence","False","CLOSED","BLOCKED"
"FINAL_LOCAL_FACTORY_FREEZE.json","standard_metadata","False","CLOSED","BLOCKED"
"FINAL_LOCAL_HANDOFF_PACK.md","standard_metadata","False","CLOSED","BLOCKED"
"FINAL_LOCAL_HANDOFF_START_HERE.md","standard_metadata","False","CLOSED","BLOCKED"
"FINAL_OWNER_REVIEW_SEAL.md","qa_evidence","False","CLOSED","BLOCKED"
"GERMAN_WORDING_SAFETY_STATUS.json","legal_safety","False","CLOSED","BLOCKED"
"GERMAN_WORDING_SAFETY_STATUS.md","legal_safety","False","CLOSED","BLOCKED"
"LIVE_MONITOR_QA_STATUS.json","qa_evidence","False","CLOSED","BLOCKED"
"LIVE_MONITOR_QA_STATUS.md","qa_evidence","False","CLOSED","BLOCKED"
"LOCAL_EVIDENCE_BUNDLE_INDEX_DEV_013_032.json","standard_metadata","False","CLOSED","BLOCKED"
"LOCAL_EVIDENCE_BUNDLE_INDEX_DEV_013_032.md","standard_metadata","False","CLOSED","BLOCKED"
"MORNING_OWNER_HANDOFF_AFTER_NIGHT_RUN.json","standard_metadata","False","CLOSED","BLOCKED"
"MORNING_OWNER_HANDOFF_AFTER_NIGHT_RUN.md","standard_metadata","False","CLOSED","BLOCKED"
"NEXT_DECISION_GATE_AFTER_UI_INTEGRATION.json","standard_metadata","False","CLOSED","BLOCKED"
"NEXT_DECISION_GATE_AFTER_UI_INTEGRATION.md","standard_metadata","False","CLOSED","BLOCKED"
"NEXT_SAFE_QUEUE_AFTER_NIGHT_RUN.json","standard_metadata","False","CLOSED","BLOCKED"
"NEXT_SAFE_QUEUE_AFTER_NIGHT_RUN.md","standard_metadata","False","CLOSED","BLOCKED"
"NIGHT_RUN_056_075_FINAL_SEAL.json","qa_evidence","False","CLOSED","BLOCKED"
"NIGHT_RUN_056_075_FINAL_SEAL.md","qa_evidence","False","CLOSED","BLOCKED"
"NIGHT_RUN_056_075_MASTER_INDEX.json","standard_metadata","False","CLOSED","BLOCKED"
"NIGHT_RUN_056_075_MASTER_INDEX.md","standard_metadata","False","CLOSED","BLOCKED"
"OWNER_LOCAL_PROJECT_INDEX.md","standard_metadata","False","CLOSED","BLOCKED"
"OWNER_REVIEW_CONSISTENCY_STATUS.json","standard_metadata","False","CLOSED","BLOCKED"
"OWNER_REVIEW_CONSISTENCY_STATUS.md","standard_metadata","False","CLOSED","BLOCKED"
"OWNER_SELECTED_PACKAGE_REVIEW_CHECKLIST_V2.json","standard_metadata","False","CLOSED","BLOCKED"
"OWNER_SELECTED_PACKAGE_REVIEW_CHECKLIST_V2.md","standard_metadata","False","CLOSED","BLOCKED"
"PDF_OUTPUT_QA_STATUS.json","qa_evidence","False","CLOSED","BLOCKED"
"PDF_OUTPUT_QA_STATUS.md","qa_evidence","False","CLOSED","BLOCKED"
"PPTX_SIGNATURE_DIAGNOSIS_STATUS.json","standard_metadata","False","CLOSED","BLOCKED"
"PPTX_SIGNATURE_DIAGNOSIS_STATUS.md","standard_metadata","False","CLOSED","BLOCKED"
"PPT_OUTPUT_QA_STATUS.json","qa_evidence","False","CLOSED","BLOCKED"
"PPT_OUTPUT_QA_STATUS.md","qa_evidence","False","CLOSED","BLOCKED"
"README.md","standard_metadata","False","CLOSED","BLOCKED"
"SELECTED_NEUTRAL_PACKAGE_SNAPSHOT.json","standard_metadata","False","CLOSED","BLOCKED"
"SELECTED_NEUTRAL_PACKAGE_SNAPSHOT.md","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_EXTRACTABILITY_CLASSIFIER.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_FINAL.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_KMP_KSF_SAMPLE_MAP_RESEARCH.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_KMP_PCM_RELATION_REVIEW.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_KMP_STRUCTURE_INSPECTOR.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_OPEN_LIBRARY_INTAKE.json","library_catalog","True","CLOSED","BLOCKED"
"UAOS_CURRENT_OWNER_LIBRARY_WRITER.json","library_catalog","True","CLOSED","BLOCKED"
"UAOS_CURRENT_OWNER_TEST.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_PCM_GROUP_REVIEW.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_CURRENT_PCM_PARSER_FEASIBILITY.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_PRODUCT_DEVELOPMENT_OVERNIGHT_RUN_003_MASTER_INDEX.md","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_PRODUCT_DEVELOPMENT_OVERNIGHT_RUN_003_SEAL.md","qa_evidence","False","CLOSED","BLOCKED"
"UAOS_RELAXED_PRODUCT_MODE_FINAL_SEAL.md","qa_evidence","False","CLOSED","BLOCKED"
"UAOS_RELAXED_PRODUCT_MODE_POLICY.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_RELAXED_PRODUCT_MODE_POLICY.md","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_RELAXED_PRODUCT_MODE_VALIDATOR_RESULTS.json","standard_metadata","False","CLOSED","BLOCKED"
"UAOS_RELAXED_PRODUCT_MODE_VALIDATOR_RULES.md","standard_metadata","False","CLOSED","BLOCKED"
"UI_SNAPSHOT_REGRESSION_STATUS.json","standard_metadata","False","CLOSED","BLOCKED"
"UI_SNAPSHOT_REGRESSION_STATUS.md","standard_metadata","False","CLOSED","BLOCKED"
"VALIDATION_AGGREGATE_STATUS.json","qa_evidence","False","CLOSED","BLOCKED"
"VALIDATION_AGGREGATE_STATUS.md","qa_evidence","False","CLOSED","BLOCKED"
"UAOS_AEPLATFORM_NET_502_RECOVERY_REPORT_2026-07-01.md","standard_metadata","False","CLOSED","BLOCKED"
"index.html","dashboard_evidence","False","CLOSED","BLOCKED"
"package.json","standard_metadata","False","CLOSED","BLOCKED"
