"kmp_id","file_name","source_path","bytes","sha256","file_exists","read_bytes","set_context","directory_key","first64_hex","ascii_string_count","possible_reference_count","kmp_marker_count","ksf_marker_count","pcm_marker_count","sample_word_count","loop_word_count","structure_confidence","safety_status"
"V1720_KMP_001","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","1142486","1C143644616E48F29E127A19995C920BA408C53863E098CD9E8AF0A96E70396E","True","65536","omar44.SET","e:\uaos_open_library_source\pa3x\omar44.set\omar44.set\multismp","01 00 01 14 00 11 6E CE 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","80","0","0","102","1","37","0","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_002","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","295817","0F4671D9BBEB0358C41408A25C87D5D9A526974530AF0048BA1CCF0EAD380139","True","65536","2020 pa1000 pa4x.SET","e:\uaos_open_library_source\pa3x\2020 pa1000 pa4x.set\2020 pa1000 pa4x.set\multismp","01 00 01 14 00 04 83 81 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 68 00 66 00 05 00 02 00 1C 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","80","1","0","1","1","4","5","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_003","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP","279934","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","True","65536","tareq pa3x.SET","e:\uaos_open_library_source\pa3x\‏‏rotana(1) pa3x.set - نسخة\tareq pa3x.set\multismp","01 00 01 14 00 04 45 76 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38","80","1","0","1","3","2","2","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_004","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP","297295","99E707EEFF4D938D28C7D8E38F47A2A9C3FDE6EE19B52042636FF119B0502986","True","65536","3xxxxx.SET","e:\uaos_open_library_source\pa3x\3xxxxx.set\3xxxxx.set\multismp","01 00 01 14 00 04 89 47 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38","80","0","0","1","2","1","2","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_005","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP","2038339","E06F6E2D98BEA8F6448EED5CBFCA6D22787FC468F250676962BDBB5AE253AEAB","True","65536","ABOUD NEXT-MG.SET","e:\uaos_open_library_source\pa3x\aboud next-mg.set\aboud next-mg.set\multismp","01 00 01 14 00 1F 1A 3B 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","80","0","0","0","0","0","0","LOW_MEDIUM_STRINGS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_006","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP","245807","B19D182ED42037B04E500F2CE0F1432671AE96C440C39AB76638159C6F132FC2","True","65536","rahm pa3x.SET","e:\uaos_open_library_source\pa3x\rahm pa3x.set\rahm pa3x.set\multismp","01 00 01 14 00 03 C0 27 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38","80","0","0","1","2","1","0","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_007","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP","279934","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","True","65536","RoTaNa(1) pa3x.SET","e:\uaos_open_library_source\pa3x\rotana(1) pa3x.set\tareq pa3x.set\multismp","01 00 01 14 00 04 45 76 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38","80","1","0","1","3","2","2","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_008","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP","1992054","CCA1B45FE41154515029F993A48BA1ED897B4A0B1512983F83ACCC01BAB07547","True","65536","a1111.SET","e:\uaos_open_library_source\pa3x\a1111.set\a1111.set\multismp","01 00 01 14 00 1E 65 6E 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","80","0","0","1","0","0","0","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_009","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP","1789646","2AFD39D42D18F95631CFB3D9197DB74763DE61D3B245CE152389610A9D673268","True","65536","ROTANA. 2022.SET","e:\uaos_open_library_source\pa3x\rotana. 2022.set\rotana. 2022.set\multismp","01 00 01 14 00 1B 4E C6 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","80","0","0","83","0","5","0","MEDIUM_READABLE_HINTS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
"V1720_KMP_010","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP","474897","1DC6F5A374EB4724700C812DE0976A8C5EE43FA94147AC91B976CC99C4AC3588","True","65536","LIVE CHARKI 3 2.SET","e:\uaos_open_library_source\pa3x\live charki 3 2.set\live charki 3 2.set\multismp","01 00 01 14 00 07 3F 09 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 68 00 66 00 05 00 02 00 1C 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","80","0","0","0","0","0","1","LOW_MEDIUM_STRINGS","READ_ONLY_MARKERS_ONLY_NO_BINARY_OUTPUT"
