"kmp_id","file_name","offset","text"
"V1720_KMP_001","RAM.KMP","23","KORF"
"V1720_KMP_001","RAM.KMP","100","Z110A STD v3.0.0"
"V1720_KMP_001","RAM.KMP","218","drams hewa (00L)"
"V1720_KMP_001","RAM.KMP","329","drams hewa (01L)"
"V1720_KMP_001","RAM.KMP","346","NtV]{"
"V1720_KMP_001","RAM.KMP","440","drams hewa (02L)"
"V1720_KMP_001","RAM.KMP","551","drams hewa (03L)"
"V1720_KMP_001","RAM.KMP","662","drams hewa (04L)"
"V1720_KMP_001","RAM.KMP","773","drams hewa (05L)"
"V1720_KMP_001","RAM.KMP","884","drams hewa (06L)"
"V1720_KMP_001","RAM.KMP","995","drams hewa (07L)"
"V1720_KMP_001","RAM.KMP","1106","drams hewa (08L)"
"V1720_KMP_001","RAM.KMP","1217","drams hewa (09L)"
"V1720_KMP_001","RAM.KMP","1328","drams hewa (10L)"
"V1720_KMP_001","RAM.KMP","1439","drams hewa (11L)"
"V1720_KMP_001","RAM.KMP","1458","e4{^"
"V1720_KMP_001","RAM.KMP","1550","drams hewa (12L)"
"V1720_KMP_001","RAM.KMP","1661","drams hewa (13L)"
"V1720_KMP_001","RAM.KMP","1772","drams hewa (14L)"
"V1720_KMP_001","RAM.KMP","1789","N&jT"
"V1720_KMP_001","RAM.KMP","1883","drams hewa (15L)"
"V1720_KMP_001","RAM.KMP","1994","drams hewa (00R)"
"V1720_KMP_001","RAM.KMP","2105","drams hewa (01R)"
"V1720_KMP_001","RAM.KMP","2216","drams hewa (02R)"
"V1720_KMP_001","RAM.KMP","2327","drams hewa (03R)"
"V1720_KMP_001","RAM.KMP","2438","drams hewa (04R)"
"V1720_KMP_001","RAM.KMP","2549","drams hewa (05R)"
"V1720_KMP_001","RAM.KMP","2660","drams hewa (06R)"
"V1720_KMP_001","RAM.KMP","2771","drams hewa (07R)"
"V1720_KMP_001","RAM.KMP","2882","drams hewa (08R)"
"V1720_KMP_001","RAM.KMP","2993","drams hewa (09R)"
